gen,description,te_class_suzukii
cg15725,,DNA/RC
cg4004,,DNA/MAVERICK
nep6,Neprilysin,DNA
brms1,BRMS1 transcriptional,DNA
cg4645,,DNA
lncrna:cr45626,long non-coding,DNA
rsh,,DNA/RC
cg12715,,DNA/RC
mir-971,mir-971 stem,DNA/RC
hep,,DNA/RC
lic,,LINE/I
cg2200,,LINE/I
cg16700,,DNA
cg8945,,DNA
wcy,,DNA/PIFHARBINGER
ubr1,Ubr1 ubiquitin,LTR
cg13000,,LTR
lncrna:cr44754,long non-coding,DNA
lncrna:cr43768,long non-coding,DNA
polr3i,RNA polymerase III subunit,DNA
denr,Density regulated,DNA
nprl2,Nitrogen permease regulator-like,DNA
cg4872,,DNA
cg13003,,DNA
rsg7,Regulator of G-protein signaling,DNA
cg13004,dicistronic,DNA
cg46306,dicistronic,DNA
cg4829,,DNA
lncrna:cr44129,long non-coding,DNA
ppk28,pickpocket,DNA
asrna:cr44053,antisense,DNA
cg13005,,DNA/RC
rai1,Rat1 Interacting Protein,DNA/RC
cg4789,,DNA/RC
cg9132,,DNA/RC
cg4768,,DNA/RC
rrp45,,DNA/RC
sap30,SIN3-associated polypeptide,DNA/RC
cg4332,,DNA/RC
lgr4,Leucine-rich repeat-containing G protein-coupled receptor,DNA
cg12723,,DNA
coq5,Coenzyme,DNA
sno,strawberry,DNA
reg,Proteasome regulator,LTR
mew,multiple edematous,LTR
comt,,DNA/MAVERICK
hdac4,Histone deacetylase,DNA/MAVERICK
cg15743,,LINE/CR1
remo,,LINE/CR1
lncrna:cr45018,long non-coding,DNA
ip3k2,Inositol 1%2C4%2C5-triphosphate kinase,DNA
prx2,Peroxiredoxin,DNA
lncrna:cr32636,long non-coding,DNA/RC
rps15aa,Ribosomal protein,LTR/Gypsy
lncrna:cr45708,long non-coding,DNA/RC
lncrna:cr45709,long non-coding,DNA/RC
syt12,Synaptotagmin,LINE/I
dmrt11e,doublesex-Mab related,LINE/I
cg1640,,LINE/I
rbp1-like,,LINE/I
vlet,,DNA
lncrna:cr45618,long non-coding,DNA
prtp,,DNA
tango10,Transport and Golgi organization,DNA
inaf-b,,DNA
inaf-d,,DNA
inaf-c,,DNA
cg9360,,DNA
nrd1,,LTR
cg14410,,LINE/I
grx5,Glutaredoxin,LINE/I
cg32590,,LINE/I
cg12539,,LINE/I
cg9522,,LINE/I
cg9521,,DNA/RC
cg9519,,DNA/RC
lncrna:cr46391,long non-coding,DNA/RC
cg9518,,DNA/RC
cg45064,dicistronic,DNA
cg45065,dicistronic,DNA
fiz,,DNA
cg14406,,DNA
cg12398,,DNA
eo,Ecdysone,DNA
cg9503,,DNA
rab3-gef,Rab3 GDP-GTP exchange,DNA/MITE
cg9072,,DNA/RC
cyp4s3,Cytochrome P450,LTR/Gypsy
drd,drop,LTR/Gypsy
rpl37-1,Ribosomal protein,DNA
cg9095,,LTR/Gypsy
lncrna:cr44663,long non-coding,DNA
lncrna:cr44664,long non-coding,DNA
acj6,abnormal chemosensory jump,DNA/RC
shtd,,DNA
cg6294,dicistronic,DNA
cg6299,dicistronic,DNA
cg15642,,DNA
ac13e,Adenylyl cyclase,DNA
lncrna:cr44353,long non-coding,DNA/P
lncrna:cr44354,long non-coding,DNA/P
pig-t,Phosphatidylinositol glycan anchor biosynthesis class,DNA
cg13012,,DNA/RC
r,,DNA/RC
cg15865,,DNA/RC
septin4,Septin,LINE/I
cg4678,,LINE/I
cg9676,,DNA
cg9673,,DNA
cg4653,,DNA
cg9672,,DNA
goe,gone,DNA
twdlz,,DNA
cg32568,,DNA
twdlalpha,,DNA
rngo,rings,LTR/Gypsy
eif2alpha,eukaryotic translation initiation factor 2 subunit,LTR/Gypsy
cg34015,,LTR/Gypsy
eif4h1,eukaryotic translation initiation factor,LINE/CR1
cg9903,,DNA
arp2,Actin-related protein,DNA
pp2b-14d,Protein phosphatase 2B at,DNA
cana-14f,Calcineurin A at,LTR
rok,Rho,DNA/PIFHARBINGER
asrna:cr45001,antisense,DNA/PIFHARBINGER
rps19a,Ribosomal protein,DNA/PIFHARBINGER
snrpg,Small nuclear ribonucleoprotein,DNA/PIFHARBINGER
mthl1,methuselah-like,DNA/PIFHARBINGER
rux,,LTR/COPIA
mab-21,,LINE/I
lncrna:cr44498,long non-coding,DNA/RC
cg4766,,DNA/RC
cg32755,,LTR
cg6041,,LTR
shmt,Serine hydroxymethyl,LTR
cg12236,,LTR
agmnat,Agmatine,LINE/I
lncrna:cr45529,long non-coding,LINE/I
prosbeta2r1,Proteasome beta2 subunit-related,LINE/I
cpr5c,Cuticular protein,DNA/RC
lncrna:cr44832,long non-coding,LINE/I
cg15767,,LINE/I
cg42699,,LINE/I
cg3108,,LINE/I
cg3097,,DNA/RC
cg18258,,DNA
cg5162,,DNA
cg12998,,DNA
josd,Josephin domain,DNA/RC
schlank,,DNA/RC
spx,Spliceosomal protein on the,DNA/RC
rbcn-3a,,DNA/RC
dtn,,LINE/CR1
sqh,spaghetti,LINE/CR1
efr,ER GDP-fucose,LINE/CR1
btnd,,LINE/CR1
nep1,Neprilysin,LINE/I
tsp5d,Tetraspanin,DNA
cg5928,,DNA
cg5921,,DNA
cg32633,,DNA
cg32631,,DNA/P
cg11816,,DNA/P
cg15211,,LINE
ant2,Adenine nucleotide translocase,LINE
sesb,stress-sensitive,LINE
imp,IGF-II mRNA-binding,LINE/I
lncrna:cr45624,long non-coding,LINE/I
sbr,small,LTR/Gypsy
cg15210,,LTR/Gypsy
cg32669,,LINE/I
pgls,,LINE/I
cg2202,,LINE/I
feo,,LINE/I
sofe,sister of,LINE/I
c901,,LINE
vex,,LINE
smyda-4,SET and MYND domain containing%2C arthropod-specific%2C member,DNA
cg1552,,DNA
cg1545,,DNA
asrna:cr44054,antisense,DNA
cg15202,,DNA
cg15201,,DNA
ran,,DNA
lint-1,l(3)mbt interacting protein,DNA/PIFHARBINGER
rtv,,DNA/PIFHARBINGER
cg32668,,DNA/RC
dlic,Dynein light intermediate,DNA/RC
antdh,Antennal,DNA/RC
cg1394,,DNA/RC
cg5062,,DNA/P
cg3323,,LINE/I
cdk7,Cyclin-dependent kinase,LINE/I
snf,sans,LINE/I
dhd,,LINE/I
sas10,Something about silencing,LINE/I
cg2059,,DNA/RC
unc-119,,DNA/RC
dok,Downstream of,LTR/COPIA
acsf3,Acyl-CoA synthetase family member,LTR/COPIA
cbp,sarcoplasmic calcium-binding,LTR/COPIA
cg15034,,LINE/I
cg15035,,DNA
cg34337,,LINE/I
rumpel,,LINE/I
cg15036,,LINE/I
cg32726,,LINE/I
lncrna:cr44500,long non-coding,DNA
cg32720,,DNA
ct,,DNA/MAVERICK
pdp,Pyruvate dehydrogenase,DNA
rab39,,DNA
tom40,Translocase of outer membrane,DNA
ir7a,Ionotropic receptor,DNA
cg34338,,DNA
cg1409,,LTR/Gypsy
ir7b,Ionotropic receptor,LTR/Gypsy
dec,defective,LTR/Gypsy
asrna:cr43615,antisense,LTR/Gypsy
ir7c,Ionotropic receptor,LTR/Gypsy
sn,,DNA/P
ras,,DNA/P
rph,,DNA/P
tango5,Transport and Golgi organization,DNA
atg8a,Autophagy-related,DNA
btbd9,BTB (POZ) domain containing,DNA
trna:asp-gtc-1-8,,DNA/RC
trna:asp-gtc-1-7,,DNA/RC
pkm,,LINE
frq1,Frequenin,LTR
him,Holes in,LINE/I
cg33639,,LINE/I
lncrna:cr45622,long non-coding,LTR/Gypsy
upd2,unpaired,DNA/RC
lncrna:cr45613,long non-coding,LTR
cg15059,,LTR/COPIA
upd3,unpaired,LINE/CR1
lncrna:cr15061,long non-coding,LINE/CR1
cg6106,,LTR/COPIA
crebb,Cyclic-AMP response element binding protein,DNA
lncrna:cr43686,long non-coding,DNA
por,,DNA/RC
cg6179,,LTR/Gypsy
betacop,Coat Protein (coatomer),LTR/Gypsy
tsf1,Transferrin,LTR/Gypsy
nepl6,Neprilysin-like,DNA/RC
hayan,,DNA
asrna:cr45714,antisense,DNA
psh,,DNA
cg15046,,DNA/RC
cg15044,,DNA/RC
cg15043,,DNA/RC
pgant7,Polypeptide N-Acetylgalactosaminyltransferase,DNA/RC
xrcc2,X-ray repair cross complementing,DNA/RC
wnt5,Wnt oncogene analog,DNA/RC
ggt-1,gamma-glutamyl,DNA
cg6470,,DNA/RC
hisrs,Histidyl-tRNA,DNA
lncrna:cr43492,long non-coding,DNA/RC
rip11,Rab11 interacting,LTR/COPIA
nup35,Nucleoporin,DNA
hou,,DNA
ing3,Inhibitor of growth family%2C member,DNA
cg6659,,DNA
fu,,DNA
cg6696,,DNA
lncrna:cr45710,long non-coding,LTR/COPIA
lncrna:cr44707,long non-coding,LTR/COPIA
phtm,,LTR/COPIA
cyp18a1,Cytochrome P450,LTR/COPIA
ccklr-17d1,Cholecystokinin-like receptor at,DNA/RC
cyp308a1,Cytochrome P450,DNA/RC
lncrna:cr45512,long non-coding,DNA/RC
lncrna:cr45513,long non-coding,DNA/RC
cg6873,,DNA
cg7101,,LINE
pvf1,PDGF- and VEGF-related factor,DNA/RC
asrna:cr43480,antisense,DNA
cg9222,,LTR/Gypsy
cg13991,,LTR
cg13999,,LTR
ntf-2r,Nuclear transport,LTR
dip-epsilon,Dpr-interacting protein,LINE/I
cox1,,LTR/Gypsy
trnl1,mitochondrial transfer,LTR/Gypsy
cox2,,LTR/Gypsy
atp6,,LINE/CR1
nd3,,LTR/Gypsy
nd5,,DNA
nd4l,,LTR/Gypsy
nd6,,LINE
cytb,,LINE/CR1
lrrna,mitochondrial large ribosomal,LINE/CR1
srrna,mitochondrial small ribosomal,LINE/CR1
trni,mitochondrial transfer,LTR/Gypsy
trnq,mitochondrial transfer,LTR/Gypsy
nd2,,LTR/Gypsy
htk,,LINE/I
shop,,LINE/R1
cg7322,,LINE/CR1
usp39,Ubiquitin specific protease,LINE/CR1
cg32544,,LINE/CR1
cg7326,,LINE/CR1
septin1,Septin,DNA/PIFHARBINGER
waw,,DNA/PIFHARBINGER
bbx,bobby,DNA/PIFHARBINGER
asrna:cr45612,antisense,DNA/PIFHARBINGER
asrna:cr45611,antisense,DNA/PIFHARBINGER
lncrna:cr45003,long non-coding,DNA/RC
cg33502,,LTR/COPIA
wdr79,WD repeat domain,DNA
arpc4,Actin-related protein 2/3 complex%2C subunit,DNA
kr-h2,Kruppel homolog,LTR/Gypsy
